x,f(x)
1,0E-8
1.1,0.05921954
1.2,0.11328276
1.3,0.16301609
1.4,0.20906196
1.5,0.25192965
1.6,0.29202971
1.7,0.32969788
1.8,0.36521241
1.9,0.39880629
2.0,0.43067653
2.1,0.46099159
2.2,0.48989614
2.3,0.51751558
2.4,0.54395934
2.5,0.56932346
2.6,0.59369269
2.7,0.61714206
2.8,0.63973854
2.9,0.66154204
3.0,0.68260618
3.1,0.70297967
3.2,0.72270628
3.3,0.74182580
3.4,0.76037447
3.5,0.77838543
3.6,0.79588901
3.7,0.81291292
3.8,0.82948284
3.9,0.84562236
4.0,0.86135312
4.1,0.87669552
4.2,0.89166821
4.3,0.90628854
4.4,0.92057272
4.5,0.93453587
4.6,0.94819216
4.7,0.96155469
4.8,0.97463592
4.9,0.98744745
5.0,1.00000000
5.1,1.01230410
5.2,1.02436927
5.3,1.03620459
5.4,1.04781864
5.5,1.05921960
5.6,1.07041515
5.7,1.08141248
5.8,1.09221858
5.9,1.10284001
6.0,1.11328276
6.1,1.12355303
6.2,1.13365629
6.3,1.14359787
6.4,1.15338287
6.5,1.16301614
6.6,1.17250239
6.7,1.18184591
6.8,1.19105103
6.9,1.20012184
7.0,1.20906198
7.1,1.21787541
7.2,1.22656558
7.3,1.23513586
7.4,1.24358953
7.5,1.25192971
7.6,1.26015945
7.7,1.26828156
7.8,1.27629888
7.9,1.28421415
8.0,1.29202970
8.1,1.29974828
8.2,1.30737213
8.3,1.31490357
8.4,1.32234480
8.5,1.32969795
8.6,1.33696512
8.7,1.34414824
8.8,1.35124927
8.9,1.35827014
9.0,1.36521241
9.1,1.37207810
9.2,1.37886873
9.3,1.38558594
9.4,1.39223129
9.5,1.39880632
9.6,1.40531253
9.7,1.41175126
9.8,1.41812396
9.9,1.42443204
10.0,1.43067659
10.1,1.43685912
10.2,1.44298070
10.3,1.44904256
10.4,1.45504585
10.5,1.46099167
10.6,1.46688117
10.7,1.47271532
10.8,1.47849520
10.9,1.48422188
11.0,1.48989613
11.1,1.49551915
11.2,1.50109171
11.3,1.50661474
11.4,1.51208909
11.5,1.51751562
11.6,1.52289520
11.7,1.52822856
11.8,1.53351651
11.9,1.53875994
12.0,1.54395935
12.1,1.54911572
12.2,1.55422962
12.3,1.55930181
12.4,1.56433288
12.5,1.56932353
12.6,1.57427445
12.7,1.57918619
12.8,1.58405939
12.9,1.58889477
13.0,1.59369267
13.1,1.59845393
13.2,1.60317893
13.3,1.60786831
13.4,1.61252251
13.5,1.61714212
13.6,1.62172765
13.7,1.62627955
13.8,1.63079834
13.9,1.63528459
14.0,1.63973855
14.1,1.64416092
14.2,1.64855200
14.3,1.65291230
14.4,1.65724216
14.5,1.66154207
14.6,1.66581244
14.7,1.67005362
14.8,1.67426606
14.9,1.67845021
15.0,1.68260623
15.1,1.68673476
15.2,1.69083600
15.3,1.69491037
15.4,1.69895815
15.5,1.70297975
15.6,1.70697550
15.7,1.71094567
15.8,1.71489065
15.9,1.71881082
16.0,1.72270627
16.1,1.72657757
16.2,1.73042487
16.3,1.73424851
16.4,1.73804870
16.5,1.74182583
16.6,1.74558015
16.7,1.74931187
16.8,1.75302132
16.9,1.75670885
17.0,1.76037446
17.1,1.76401871
17.2,1.76764168
17.3,1.77124366
17.4,1.77482482
17.5,1.77838549
17.6,1.78192588
17.7,1.78544617
17.8,1.78894665
17.9,1.79242759
18.0,1.79588898
18.1,1.79933133
18.2,1.80275468
18.3,1.80615930
18.4,1.80954529
18.5,1.81291297
18.6,1.81626251
18.7,1.81959405
18.8,1.82290782
18.9,1.82620410
19.0,1.82948284
19.1,1.83274447
19.2,1.83598906
19.3,1.83921683
19.4,1.84242782
19.5,1.84562236
19.6,1.84880057
19.7,1.85196256
19.8,1.85510856
19.9,1.85823877
20.0,1.86135317
20.1,1.86445212
20.2,1.86753569
20.3,1.87060406
20.4,1.87365725
20.5,1.87669558
20.6,1.87971913
20.7,1.88272801
20.8,1.88572238
20.9,1.88870246
21.0,1.89166821
21.1,1.89461993
21.2,1.89755771
21.3,1.90048169
21.4,1.90339188
21.5,1.90628855
21.6,1.90917180
21.7,1.91204170
21.8,1.91489839
21.9,1.91774209
22.0,1.92057272
22.1,1.92339058
22.2,1.92619572
22.3,1.92898829
22.4,1.93176827
22.5,1.93453592
22.6,1.93729130
22.7,1.94003449
22.8,1.94276562
22.9,1.94548487
23.0,1.94819215
23.1,1.95088776
23.2,1.95357174
23.3,1.95624420
23.4,1.95890512
23.5,1.96155472
23.6,1.96419312
23.7,1.96682032
23.8,1.96943644
23.9,1.97204169
24.0,1.97463593
24.1,1.97721945
24.2,1.97979230
24.3,1.98235455
24.4,1.98490619
24.5,1.98744742
24.6,1.98997835
24.7,1.99249898
24.8,1.99500939
24.9,1.99750980
25.0,2.00000007
25.1,2.00248044
25.2,2.00495099
25.3,2.00741176
25.4,2.00986276
25.5,2.01230414
25.6,2.01473601
25.7,2.01715836
25.8,2.01957128
25.9,2.02197497
26.0,2.02436927
26.1,2.02675443
26.2,2.02913050
26.3,2.03149753
26.4,2.03385551
26.5,2.03620458
26.6,2.03854486
26.7,2.04087632
26.8,2.04319903
26.9,2.04551320
27.0,2.04781866
27.1,2.05011564
27.2,2.05240419
27.3,2.05468436
27.4,2.05695613
27.5,2.05921962
27.6,2.06147495
27.7,2.06372209
27.8,2.06596109
27.9,2.06819217
28.0,2.07041515
28.1,2.07263025
28.2,2.07483749
28.3,2.07703695
28.4,2.07922859
28.5,2.08141251
28.6,2.08358884
28.7,2.08575754
28.8,2.08791866
28.9,2.09007242
29.0,2.09221861
29.1,2.09435745
29.2,2.09648898
29.3,2.09861324
29.4,2.10073021
29.5,2.10283997
29.6,2.10494266
29.7,2.10703822
29.8,2.10912669
29.9,2.11120830
30.0,2.11328283
